repositorio,loc_total,comentarios_total,cbo_total,dit_total,lcom_total,arquivos_java,loc_media_por_arquivo,comentarios_media_por_arquivo
vertx-examples,9055,2980,2408,822,459,451,20.08,6.61
Fragmentation,8981,4447,1486,485,4293,284,31.62,15.66
XposedInstaller,8980,1254,994,288,1729,203,44.24,6.18
XXPermissions,8952,6688,1291,300,16769,194,46.14,34.47
java-jwt,8924,2129,487,140,12276,86,103.77,24.76
gpmall,8865,5136,2111,577,3464,424,20.91,12.11
xxl-job,8854,4176,817,193,3493,171,51.78,24.42
webmagic,8794,4309,1559,407,3944,344,25.56,12.53
spider-flow,8748,3201,867,279,3273,161,54.34,19.88
android-classyshark,8714,4506,672,271,2173,212,41.1,21.25
miaosha,8581,2596,1186,322,4090,286,30.0,9.08
tsunami-security-scanner,8564,7379,1803,444,4249,288,29.74,25.62
DeepLinkDispatch,8549,957,157,37,2216,25,341.96,38.28
spring-cloud-netflix,8510,7572,1903,321,22653,264,32.23,28.68
andOTP,8443,3666,1014,249,6875,166,50.86,22.08
NoHttp,8428,8814,1016,342,10408,228,36.96,38.66
syncthing-android,8424,4820,925,240,1285,142,59.32,33.94
Android-BluetoothKit,8347,2157,982,299,4507,241,34.63,8.95
flutter-webrtc,8277,2511,597,110,3299,90,91.97,27.9
usb-serial-for-android,8172,2757,409,87,2572,66,123.82,41.77
eladmin,8063,8574,2260,328,1749,282,28.59,30.4
allure2,8061,5889,1630,351,3121,269,29.97,21.89
dagger,8043,10182,1289,499,2431,406,19.81,25.08
BackgroundLibrary,8029,488,570,144,4067,119,67.47,4.1
VirtualAPK,7981,5571,798,263,2865,163,48.96,34.18
LiveEventBus,7782,5364,994,342,1243,308,25.27,17.42
tx-lcn,7772,2912,1100,269,1407,222,35.01,13.12
CompreFace,7766,3212,2615,552,1297,333,23.32,9.65
campus-imaotai,7728,5838,1382,308,4442,218,35.45,26.78
Small,7726,6916,704,273,3731,185,41.76,37.38
butterknife,7712,1149,1077,336,2851,272,28.35,4.22
BoomMenu,7710,7574,648,181,26182,115,67.04,65.86
hello-algo,7707,4547,403,215,1012,215,35.85,21.15
microservices-platform,7665,5593,2231,439,2259,351,21.84,15.93
android-async-http,7620,11177,872,275,7065,154,49.48,72.58
NineOldAndroids,7585,15001,592,198,4160,138,54.96,108.7
javapoet,7543,3375,447,114,12800,99,76.19,34.09
pig,7543,14004,2626,498,2024,380,19.85,36.85
MaterialDateTimePicker,7536,5536,481,107,9317,73,103.23,75.84
physical-web,7481,10242,747,201,4167,156,47.96,65.65
Android-Universal-Image-Loader,7434,10868,681,222,4038,140,53.1,77.63
VasSonic,7421,9199,466,142,2399,111,66.86,82.87
Mybatis-PageHelper,7390,6823,1052,261,5365,181,40.83,37.7
views-widgets-samples,7344,6417,611,263,1066,152,48.32,42.22
dolby_beta,7302,2616,767,269,1471,185,39.47,14.14
ImmersionBar,7237,4382,902,299,22614,142,50.96,30.86
spring-boot-demo,7163,7546,2435,545,1119,482,14.86,15.66
nanohttpd,7106,7150,625,258,3191,144,49.35,49.65
LSPatch,7008,12221,634,197,3486,146,48.0,83.71
PocketHub,6980,6329,1394,314,1917,212,32.92,29.85
transmittable-thread-local,6932,16315,866,222,1915,155,44.72,105.26
ftgo-application,6868,248,1978,440,3031,370,18.56,0.67
libstreaming,6798,8973,318,126,2073,89,76.38,100.82
Luyten,6750,2852,303,199,1993,129,52.33,22.11
java-faker,6710,1785,926,326,9168,225,29.82,7.93
android-common,6707,12616,488,137,4737,110,60.97,114.69
MifareClassicTool,6633,6106,366,75,3499,33,201.0,185.03
DSA-Bootcamp-Java,6614,856,321,274,886,253,26.14,3.38
austin,6538,12291,2168,391,505,348,18.79,35.32
android-common,6519,8706,299,106,10570,85,76.69,102.42
AndResGuard,6506,1974,233,99,1477,66,98.58,29.91
VitamioBundle,6501,12256,500,133,7582,101,64.37,121.35
android-gpuimage,6341,15284,453,330,1729,153,41.44,99.9
JAViewer,6309,10430,1036,286,2085,179,35.25,58.27
TwinklingRefreshLayout,6273,3519,647,207,5477,151,41.54,23.3
springBoot,6250,2175,1343,303,4091,264,23.67,8.24
netty-socketio,6233,3540,839,214,5580,169,36.88,20.95
wgcloud,6105,2673,713,141,4076,118,51.74,22.65
JustAuth,6054,15738,1091,266,2571,198,30.58,79.48
JavaSourceCodeLearning,6045,3133,905,399,995,317,19.07,9.88
SpringAll,6035,1503,1982,420,1417,378,15.97,3.98
Spring-Cloud-Platform,6014,3526,865,249,10204,177,33.98,19.92
MVPArms,5986,6980,990,191,4783,149,40.17,46.85
useful-java-links,5967,2138,606,269,482,263,22.69,8.13
StylishMusicPlayer,5777,2215,975,254,2564,194,29.78,11.42
ListViewAnimations,5697,7539,887,282,1433,137,41.58,55.03
socket.io-client-java,5639,2483,440,251,974,229,24.62,10.84
springcloud-learning,5631,1459,1099,230,19322,225,25.03,6.48
cim,5622,2268,986,259,1159,202,27.83,11.23
interviews,5621,3652,307,258,75,257,21.87,14.21
android-Ultra-Pull-To-Refresh,5476,2893,653,228,3082,161,34.01,17.97
awaitility,5473,5976,540,203,3159,170,32.19,35.15
BGARefreshLayout-Android,5450,4024,834,228,1587,162,33.64,24.84
Conductor,5385,4198,471,116,6135,86,62.62,48.81
MagicaSakura,5367,1668,697,141,2137,84,63.89,19.86
freeline,5357,2195,513,217,1872,135,39.68,16.26
shopping-management-system,5353,1074,341,132,7404,97,55.19,11.07
dynamic-datasource,5290,4970,910,203,420,178,29.72,27.92
Play-with-Algorithms,5287,1479,385,134,692,133,39.75,11.12
EventBus,5269,3590,627,336,1657,183,28.79,19.62
IoT-Technical-Guide,5235,1354,1201,367,930,294,17.81,4.61
RichText,5185,2492,564,191,1392,132,39.28,18.88
zxing-android-embedded,5169,4889,522,131,2104,96,53.84,50.93
XRecyclerView,5151,1729,649,236,1501,166,31.03,10.42
Bolts-Android,5144,10129,474,172,3004,158,32.56,64.11
concurrency-limits,5131,3359,590,164,1060,128,40.09,26.24
epic,5127,1852,481,242,4529,149,34.41,12.43
joyagent-jdgenie,5079,2839,647,149,580,135,37.62,21.03
android-volley,4965,7578,672,250,2088,132,37.61,57.41
aurora,4956,45,2179,334,2170,299,16.58,0.15
easy-rules,4857,5839,825,213,1236,162,29.98,36.04
retrolambda,4848,4222,594,339,2161,240,20.2,17.59
u2020,4806,4890,833,191,3165,134,35.87,36.49
reflections,4782,2491,546,227,2691,197,24.27,12.64
crawler4j,4736,3554,438,109,4639,83,57.06,42.82
FastBle,4713,698,460,136,2737,105,44.89,6.65
uCrop,4707,3048,488,105,2226,77,61.13,39.58
ChatKit,4680,12257,623,313,3832,108,43.33,113.49
Android-Image-Cropper,4655,11157,309,55,2815,40,116.38,278.92
dddsample-core,4639,1487,1113,177,1104,157,29.55,9.47
walle,4633,8324,296,112,817,94,49.29,88.55
CC,4599,2621,596,151,1958,120,38.33,21.84
haven,4561,1848,539,110,930,79,57.73,23.39
novel,4544,4367,892,216,4138,202,22.5,21.62
MagicIndicator,4533,433,515,138,2775,103,44.01,4.2
Sui,4514,2270,439,105,1295,89,50.72,25.51
JiaoZiVideoPlayer,4511,408,502,146,3908,69,65.38,5.91
AndPermission,4486,4360,671,196,1258,168,26.7,25.95
spring-boot-examples,4461,569,1451,315,1545,307,14.53,1.85
spring-boot-starter,4431,6314,791,214,2831,175,25.32,36.08
LoadingDrawable,4428,564,423,94,1029,65,68.12,8.68
Android-PickerView,4421,4106,339,105,1410,91,48.58,45.12
leetcode,4414,957,421,165,55,164,26.91,5.84
JCSprout,4399,2690,318,177,286,162,27.15,16.6
gnirehtet,4330,1660,305,96,1158,81,53.46,20.49
brigadier,4312,754,564,98,3787,85,50.73,8.87
spruce-android,4269,11841,593,167,653,122,34.99,97.06
subsampling-scale-image-view,4262,15037,405,114,5740,72,59.19,208.85
kafdrop,4215,2417,552,132,2821,100,42.15,24.17
floatingsearchview,4170,20536,482,159,3548,135,30.89,152.12
sensitive-word,4145,3952,684,264,4678,225,18.42,17.56
MusicBot,4097,1924,627,233,985,93,44.05,20.69
rebound,4095,3337,381,115,3039,87,47.07,38.36
react-native-webrtc,4086,1942,410,77,584,67,60.99,28.99
android-mvp-architecture,4049,2590,849,202,2060,146,27.73,17.74
AndroidStaggeredGrid,4010,8718,211,67,5612,36,111.39,242.17
SuperTextView,4002,30479,262,100,12184,86,46.53,354.41
itstack-demo-design,3992,842,466,238,1145,215,18.57,3.92
RxJava2-Android-Samples,3992,2055,678,232,1163,185,21.58,11.11
HaE,3968,524,278,111,798,67,59.22,7.82
AndroidTutorialForBeginners,3957,1857,582,193,354,129,30.67,14.4
screw,3941,7203,678,184,713,136,28.98,52.96
google-authenticator,3935,11156,237,103,1809,61,64.51,182.89
newbee-mall,3935,1499,448,95,3107,89,44.21,16.84
groupie,3898,1181,474,170,2781,93,41.91,12.7
chatgpt-java,3866,5457,1355,221,2398,201,19.23,27.15
ysoserial,3851,1484,655,161,1067,120,32.09,12.37
GoGoGo,3813,1900,370,70,618,48,79.44,39.58
AndroidImageSlider,3813,10069,256,99,3723,63,60.52,159.83
Depth-LIB-Android-,3771,756,409,131,1442,108,34.92,7.0
frontend-maven-plugin,3717,519,554,171,698,99,37.55,5.24
DiscreteScrollView,3698,490,444,131,2007,105,35.22,4.67
Jetpack-MVVM-Best-Practice,3691,3254,576,193,1428,119,31.02,27.34
twoway-view,3688,1660,310,93,4416,51,72.31,32.55
ImagePicker,3685,2046,443,113,1754,76,48.49,26.92
material-calendarview,3658,6827,568,135,6073,88,41.57,77.58
Android-PullToRefresh,3567,7582,494,173,4579,82,43.5,92.46
rejoiner,3566,2638,867,206,645,131,27.22,20.14
InfiniteCycleViewPager,3564,6276,207,67,4204,41,86.93,153.07
PageIndicatorView,3532,573,397,108,1642,72,49.06,7.96
my-site,3496,2413,557,107,3152,90,38.84,26.81
LeetCode,3441,432,180,145,122,145,23.73,2.98
